amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	price-designation	customized-url	customized-page 
111-7095311-1012234		2023-02-01T13:42:08+00:00	2023-02-02T02:56:34+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Cursive Letter Balloons - Custom Script Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	XCURSIVELETTERS	B09CW233GB	1	Shipped	1	USD	1.69	0.14							FORSYTH	GA	31029-1961	US		FALSE		https://zme-caps.amazon.com/t/tMu5qZ46Mflm/N1T8o2KUXVwnPWw6sorBHfNZV-LfKlmwxyUCA8D2ork/18	https://a.co/08dgBHu
111-7095311-1012234		2023-02-01T13:42:08+00:00	2023-02-02T02:56:34+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Cursive Letter Balloons - Custom Script Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	XCURSIVELETTERS	B09CW233GB	1	Shipped	1	USD	1.69	0.14							FORSYTH	GA	31029-1961	US		FALSE		https://zme-caps.amazon.com/t/W59RKNo5Ue5l/fUtpEzv0hNyX1yXZrx3EuXl3f-4xnAvVtcUtM4UMxFw/18	https://a.co/fMjfVwD
114-4058873-4369866		2023-02-01T15:14:52+00:00	2023-02-02T02:46:06+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	25.65	1.8							STATE CENTER	IA	50247	US		FALSE		https://zme-caps.amazon.com/t/wr4StAhWluzx/0CQPQcM5g0u0oV3rgq0LsFJ3G_yOplr3FRSvPcV8wgQ/18	https://a.co/3WC4Icr
111-6587786-7181802		2023-02-01T15:43:43+00:00	2023-02-02T02:57:44+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Expedited	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	17.65	1.52	7.99	0.69					SAN FRANCISCO	CA	94110-5130	US		FALSE		https://zme-caps.amazon.com/t/oPXlNcpdr45z/g0L2WuwbefEN-3Jt5HKVUeaHCfgPQY6r7gRbQTXMQT4/18	https://a.co/hpr3UFZ
114-6556721-0288266		2023-02-01T15:46:31+00:00	2023-02-02T02:46:10+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	12.65	0.79							Lawrence	MA	1843	US		FALSE		https://zme-caps.amazon.com/t/dAUmIEVMvz4e/4W2XNHuPZB09iicRLvB9f2A_kA1aZXVa3w7W45HdN94/18	https://a.co/1whjRkc
112-9510336-7819468		2023-02-01T15:49:38+00:00	2023-02-02T02:46:07+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	20.65	1.45							GASTONIA	NC	28056-7875	US		FALSE		https://zme-caps.amazon.com/t/RqzwVgzkPvDI/K8XYAF55qE1Zs-Nw9iP69N2U-Ml9o7cHzNM6EJ7EeAg/18	https://a.co/adtfusB
113-2742744-8644249		2023-02-01T15:56:47+00:00	2023-02-02T02:48:16+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	18.65	1.12							PHILADELPHIA	PA	19124-4816	US		FALSE		https://zme-caps.amazon.com/t/jRy6Clskv6Bs/4LJaieF0EbvVUX2d0VwZRiPg339OpKM0kmJE4lkHZNE/18	https://a.co/dnRqMyS
114-4670152-7213001		2023-02-01T16:02:09+00:00	2023-02-02T02:46:11+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	16.65	1.46							RANCHO CORDOVA	CA	95670-8041	US		FALSE		https://zme-caps.amazon.com/t/rW1V9QrVHINP/NMvlQSXpFWTTUGpC6Hx0H9EPOwEnYwPa0QHk4CaXuUc/18	https://a.co/1cci6gS
114-8661577-8496201		2023-02-01T16:19:02+00:00	2023-02-02T02:48:08+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	17.65	1.24							MIAMI	FL	33193-3464	US		FALSE		https://zme-caps.amazon.com/t/foZxO36zU2sr/t0E0vjCkq8uot9ppYwOsHC_GVHObRbGSRCQ8xbAPFFk/18	https://a.co/c3T4JUT
111-0643897-7433034		2023-02-01T16:35:41+00:00	2023-02-02T02:46:04+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	16.65	0.92							GREEN BAY	WI	54303-6570	US		FALSE		https://zme-caps.amazon.com/t/Ff3S1Ur0QJKu/8V85a6I1VWfu8ofBIrcQgDV004nfgLLGrooL2Wk3olc/18	https://a.co/hoDC7qq
114-5538296-3084210		2023-02-01T16:35:52+00:00	2023-02-02T02:46:03+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Expedited	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	15.65	1.1	3.99						INDIANAPOLIS	IN	46240-2688	US		FALSE		https://zme-caps.amazon.com/t/4LtZw1fFeq6v/bieu3dlleWFHvj0AWeZz2zk_0TaDOK6eXbBpkHoljqY/18	https://a.co/f6222kR
114-5538296-3084210		2023-02-01T16:35:52+00:00	2023-02-02T02:46:03+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Expedited	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	14.65	1.03	4						INDIANAPOLIS	IN	46240-2688	US		FALSE		https://zme-caps.amazon.com/t/v6tqrtLsqoG1/hRHU6pX8etVmBex3Y4wnjmvvmRWjV55zZ037avW9bnA/18	https://a.co/1lGbnW0
111-9854438-1048208		2023-02-01T16:49:30+00:00	2023-02-02T02:46:21+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	15.65	0.74							PEARL CITY	HI	96782-1948	US		FALSE		https://zme-caps.amazon.com/t/q2KHIp5YaIzl/vQ2OjSvYdqMgTXKD45_v4qUTMLc3KC75fLJSYj2OvSI/18	https://a.co/6s7CQag
114-9366757-8324266		2023-02-01T17:11:52+00:00	2023-02-02T02:46:26+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	20.65	1.24							GAITHERSBURG	MD	20878-5472	US		FALSE		https://zme-caps.amazon.com/t/EFh983HPgQdX/MvZUSxu6IqpOyKtGWWKi0afmlym1DKdFZxLqnP-AxPk/18	https://a.co/esahUp0
111-2457592-8168268		2023-02-01T17:19:55+00:00	2023-02-02T02:46:10+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	1.76	0.15							O FALLON	IL	62269-3583	US		FALSE		https://zme-caps.amazon.com/t/rEPLk9pFRXTJ/Usd_J6Kg7jLdOR6Fj2QkeavfFP3F4u4jm9twKd4IMfo/18	https://a.co/7p7eygY
113-7845248-5060266		2023-02-01T17:20:33+00:00	2023-02-02T02:47:28+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Cursive Letter Balloons - Custom Script Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	XCURSIVELETTERS	B09CW233GB	1	Shipped	1	USD	27.68	2.32							TRAVIS AFB	CA	94535-1128	US		FALSE		https://zme-caps.amazon.com/t/qldSr0xCNLNt/QY1IBCJ3reiaKcJawMNfqCV9TK8OSHMWRR-EbIkhFdY/18	https://a.co/dLRCsM6
